Label,asds,Site,X(East),Y(North),Z,Valid,Manufact.,Type-generator,"Power, rated",Rotor diameter,Hub height,Row data/Description,Creator,Name,User label,Result,Efficiency,Regional / Correction Factor,Equivalent roughness,Free mean wind speed,HP-value,Calculated prod. without new WTGs,Actual wind corrected energy,Goodness Factor,A (Sum),k (Sum),A (0),k (0),f (0),A (1),k (1),f (1),A (2),k (2),f (2),A (3),k (3),f (3),A (4),k (4),f (4),A (5),k (5),f (5),A (6),k (6),f (6),A (7),k (7),f (7),A (8),k (8),f (8),A (9),k (9),f (9),A (10),k (10),f (10),A (11),k (11),f (11),Air density,Displacement height,Decrease due to obstacles,Increase due to hills,Sensitivity
11,New,A,"483,265","7,063,010",62.4,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F11,USER,Noise Mode = 0,F11,"12,670.23",90.4325,1,,7.86,97.7,0,0,,8.85,1.867,6.8,2.01,2.9,7.3,2.28,5.9,7.2,2.538,5.8,8.2,2.42,8.1,8.6,2.43,11.3,7.4,2.48,8.3,7.82,2,7.8,9.14,1.8,13.3,11.28,1.85,14.2,10.6,1.88,9.6,9.38,1.79,7.4,7.8,1.83,5.5,1.225,0,0,0,1.22
12,New,A,"483,823","7,063,167",64.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F12,USER,Noise Mode = 0,F12,"13,104.65",92.8431,1,,7.92,97.9,0,0,,8.92,1.859,6.81,1.98,2.8,7.5,2.273,6.1,7.41,2.53,6,8.3,2.42,8.1,8.43,2.437,11.1,7.3,2.497,8.1,7.83,2.032,7.6,9.43,1.81,13.7,11.56,1.85,14.6,10.6,1.88,9.5,9.1,1.799,7.1,7.7,1.835,5.3,1.225,0,0,0,1.19
13,New,A,"483,779","7,063,961",53.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F13,USER,Noise Mode = 0,F13,"12,393.91",90.6818,1,,7.72,97.2,0,0,,8.7,1.863,6.6,1.98,2.7,7.2,2.27,5.9,7.15,2.53,5.9,8.2,2.42,8.3,8.37,2.436,11.4,7.1,2.482,8,7.4,2.02,7.5,8.9,1.81,13.3,11,1.86,14.5,10.7,1.88,9.9,9.3,1.79,7.3,7.54,1.83,5.3,1.225,0,0,0,1.26
14,New,A,"484,501","7,063,378",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F14,USER,Noise Mode = 0,F14,"13,553.11",95.3956,1,,7.95,98,0,0,,8.95,1.867,6.8,2.01,2.8,7.3,2.27,5.9,7.4,2.536,5.9,8.4,2.41,8.2,8.8,2.43,11.4,7.3,2.49,8.1,7.8,2.01,7.6,9.2,1.81,13.2,11.4,1.85,14.4,10.8,1.88,9.8,9.4,1.8,7.4,7.74,1.85,5.3,1.225,0,0,0,1.19
15,New,A,"484,277","7,064,074",57.2,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F15,USER,Noise Mode = 0,F15,"12,608.98",91.7795,1,,7.76,97.3,0,0,,8.74,1.863,6.8,1.97,2.8,7.4,2.27,6.1,7.3,2.53,6,8.2,2.413,8.2,8.17,2.44,11.1,7.1,2.5,8,7.5,2.03,7.6,9.1,1.81,13.7,11.17,1.86,14.6,10.57,1.88,9.6,9.2,1.79,7.1,7.6,1.84,5.3,1.225,0,0,0,1.25
16,New,A,"484,529","7,064,385",61.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F16,USER,Noise Mode = 0,F16,"12,931.18",93.7576,1,,7.76,97.3,0,0,,8.75,1.87,6.8,1.99,2.8,7.3,2.27,5.9,7.2,2.53,5.8,8.2,2.41,8.1,8.29,2.43,11.3,7.2,2.481,8.2,7.7,2,7.7,9,1.81,13.3,10.98,1.86,14.3,10.7,1.88,9.7,9.39,1.79,7.4,7.7,1.839,5.4,1.225,0,0,0,1.25
17,New,A,"483,659","7,063,558",54,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F17,USER,Noise Mode = 0,F17,"12,360.41",89.8371,1,,7.77,97.3,0,0,,8.75,1.86,6.7,1.98,2.7,7.3,2.27,5.9,7.26,2.54,5.9,8.26,2.42,8.3,8.3,2.44,11.3,7.1,2.5,8,7.5,2.03,7.5,9,1.81,13.3,11.26,1.86,14.6,10.6,1.88,9.8,9.2,1.79,7.3,7.5,1.83,5.3,1.225,0,0,0,1.24
1,New,A,"481,517","7,062,396",44,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F1,USER,Noise Mode = 0,F1,"13,276.40",91.4962,1,,8.12,98.3,0,0,,9.14,1.848,7.06,1.956,2.8,7.4,2.26,6,7.4,2.5,6.1,8.6,2.43,8.1,8.6,2.42,11.1,7.5,2.47,8.2,8.01,2.01,7.5,9.7,1.8,13.5,11.91,1.86,14.7,10.8,1.89,9.5,9.6,1.8,7.1,7.73,1.82,5.4,1.225,0,0,0,1.13
2,New,A,"481,159","7,062,726",42,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F2,USER,Noise Mode = 0,F2,"13,452.27",93.0586,1,,8.09,98.2,0,0,,9.11,1.851,7,1.94,2.7,7.5,2.25,5.9,7.39,2.5,6.1,8.5,2.42,8.2,8.6,2.42,11.2,7.5,2.469,8.2,7.9,2.01,7.5,9.6,1.81,13.4,11.9,1.86,14.7,10.7,1.89,9.6,9.6,1.8,7.2,7.71,1.821,5.4,1.225,0,0,0,1.14
3,New,A,"482,023","7,062,925",56.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F3,USER,Noise Mode = 0,F3,"13,119.05",89.3413,1,,8.2,98.3,0,0,,9.24,1.847,7.1,1.955,2.7,7.5,2.25,5.9,7.5,2.51,6.1,8.64,2.43,8.2,8.7,2.43,11.2,7.5,2.47,8.1,8,2,7.5,9.8,1.81,13.4,12.1,1.86,14.7,10.9,1.89,9.6,9.7,1.8,7.2,7.85,1.84,5.3,1.225,0,0,0,1.1
4,New,A,"481,656","7,062,954",47,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F4,USER,Noise Mode = 0,F4,"12,867.00",89.5945,1,,8.05,98.2,0,0,,9.06,1.848,7,1.942,2.8,7.5,2.26,6,7.32,2.5,6.1,8.37,2.43,8.1,8.5,2.42,11.1,7.4,2.47,8.2,7.91,1.998,7.6,9.7,1.807,13.5,11.8,1.86,14.6,10.67,1.89,9.5,9.6,1.8,7.2,7.8,1.82,5.4,1.225,0,0,0,1.15
5,New,A,"481,882","7,062,431",55.7,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F5,USER,Noise Mode = 0,F5,"13,249.22",88.9152,1,,8.31,98.5,0,0,,9.36,1.843,7.01,1.951,2.7,7.5,2.26,5.9,7.6,2.51,6.1,8.9,2.42,8.3,8.9,2.42,11.3,7.6,2.47,8.1,8.07,2.017,7.4,9.7,1.81,13.2,12.3,1.86,14.8,11.2,1.89,9.8,9.9,1.8,7.2,7.8,1.84,5.3,1.225,0,0,0,1.06
6,New,A,"481,822","7,062,019",51.3,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F6,USER,Noise Mode = 0,F6,"14,237.75",95.5373,1,,8.31,98.4,0,0,,9.35,1.846,7.1,1.98,2.8,7.44,2.26,5.9,7.4,2.5,6,9,2.419,8.1,8.9,2.43,11.3,7.69,2.46,8.3,8.2,2,7.5,9.7,1.8,13.1,12.2,1.85,14.6,11.14,1.89,9.7,9.9,1.81,7.3,7.98,1.838,5.4,1.225,0,0,0,1.07
7,New,A,"482,270","7,062,313",52.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F7,USER,Noise Mode = 0,F7,"13,803.54",92.5823,1,,8.3,98.4,0,0,,9.35,1.851,7.02,1.972,2.8,7.5,2.26,5.9,7.54,2.503,6,8.94,2.42,8.2,8.97,2.426,11.3,7.6,2.468,8.2,8.1,2.004,7.5,9.68,1.807,13.2,12.2,1.86,14.7,11.1,1.89,9.8,9.88,1.805,7.3,7.9,1.847,5.3,1.225,0,0,0,1.07
8,New,A,"482,544","7,063,102",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F8,USER,Noise Mode = 0,F8,"13,343.20",90.3942,1,,8.22,98.3,0,0,,9.26,1.855,7.1,1.97,2.8,7.54,2.257,5.9,7.54,2.51,6,8.6,2.42,8.2,8.8,2.42,11.2,7.6,2.461,8.2,8.1,1.995,7.6,9.8,1.81,13.3,12,1.86,14.6,11,1.89,9.6,9.69,1.8,7.2,7.99,1.84,5.4,1.225,0,0,0,1.1
9,New,A,"482,850","7,063,501",59.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F9,USER,Noise Mode = 0,F9,"13,233.92",90.8961,1,,8.13,98.3,0,0,,9.15,1.856,7,1.96,2.7,7.5,2.25,5.9,7.5,2.51,6.1,8.53,2.42,8.3,8.69,2.42,11.2,7.4,2.47,8.1,7.96,2.007,7.5,9.7,1.81,13.4,11.8,1.87,14.7,11,1.89,9.7,9.5,1.8,7.2,7.8,1.84,5.3,1.225,0,0,0,1.13
10,New,A,"483,136","7,062,632",59.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F10,USER,Noise Mode = 0,F10,"14,059.87",94.2194,1,,8.3,98.4,0,0,,9.35,1.852,6.97,1.98,2.8,7.5,2.25,5.8,7.6,2.506,6,8.89,2.42,8.2,9,2.42,11.4,7.67,2.46,8.2,8.1,2,7.5,9.7,1.81,13.1,12.2,1.86,14.6,11.16,1.89,9.8,9.76,1.81,7.3,7.86,1.85,5.3,1.225,0,0,0,1.07
11,New,A,"483,265","7,063,010",62.4,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F11,USER,Noise Mode = 0,F11,"13,380.68",91.1077,1,,8.16,98.3,0,0,,9.19,1.866,7,1.99,2.9,7.51,2.26,5.8,7.5,2.508,5.9,8.5,2.42,8.1,8.9,2.42,11.3,7.7,2.45,8.4,8.12,1.98,7.8,9.64,1.8,13.2,11.78,1.86,14.3,10.9,1.89,9.6,9.68,1.8,7.3,8,1.84,5.5,1.225,0,0,0,1.12
12,New,A,"483,823","7,063,167",64.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F12,USER,Noise Mode = 0,F12,"13,849.56",93.4008,1,,8.25,98.4,0,0,,9.28,1.859,7.01,1.97,2.8,7.7,2.253,6,7.71,2.5,6.1,8.6,2.42,8.1,8.87,2.427,11.1,7.6,2.467,8.2,8.13,2.01,7.6,9.93,1.81,13.7,12.06,1.86,14.6,10.9,1.89,9.5,9.4,1.8,7.1,8,1.845,5.3,1.225,0,0,0,1.1
13,New,A,"483,779","7,063,961",53.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F13,USER,Noise Mode = 0,F13,"13,245.19",91.4219,1,,8.08,98.2,0,0,,9.1,1.864,6.8,1.97,2.7,7.5,2.25,5.8,7.45,2.5,6,8.5,2.42,8.3,8.81,2.436,11.3,7.4,2.452,8.1,7.9,2,7.5,9.48,1.81,13.3,11.6,1.87,14.5,11,1.89,9.8,9.6,1.8,7.3,7.74,1.84,5.3,1.225,0,0,0,1.15
14,New,A,"484,501","7,063,378",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F14,USER,Noise Mode = 0,F14,"14,250.33",95.7938,1,,8.25,98.4,0,0,,9.29,1.866,7,1.99,2.8,7.6,2.25,5.8,7.7,2.506,6,8.6,2.41,8.2,9.1,2.43,11.4,7.6,2.46,8.2,8.1,1.99,7.6,9.7,1.81,13.2,11.9,1.86,14.5,11.1,1.89,9.8,9.7,1.8,7.3,8.04,1.86,5.3,1.225,0,0,0,1.1
15,New,A,"484,277","7,064,074",57.2,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F15,USER,Noise Mode = 0,F15,"13,459.09",92.4794,1,,8.1,98.2,0,0,,9.12,1.869,7,1.96,2.8,7.7,2.25,6,7.6,2.5,6.1,8.5,2.413,8.2,8.67,2.43,11.1,7.4,2.47,8.1,8,2.01,7.6,9.6,1.81,13.6,11.67,1.87,14.6,10.87,1.89,9.6,9.5,1.8,7.1,7.9,1.85,5.3,1.225,0,0,0,1.15
16,New,A,"484,529","7,064,385",61.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F16,USER,Noise Mode = 0,F16,"13,731.72",94.29,1,,8.09,98.2,0,0,,9.11,1.875,7,1.98,2.8,7.6,2.25,5.8,7.5,2.5,5.9,8.5,2.41,8.1,8.79,2.43,11.3,7.5,2.451,8.3,8,1.98,7.7,9.5,1.81,13.3,11.48,1.87,14.4,11,1.89,9.7,9.6,1.8,7.3,8,1.849,5.4,1.225,0,0,0,1.15
17,New,A,"483,659","7,063,558",54,Yes,Envision,"V126-3.45MW-3,450","3,450",126,100,F17,USER,Noise Mode = 0,F17,"13,190.27",90.5832,1,,8.11,98.3,0,0,,9.14,1.864,6.9,1.97,2.7,7.6,2.25,5.8,7.56,2.51,6,8.56,2.42,8.3,8.8,2.43,11.3,7.4,2.47,8.1,8,2.01,7.5,9.5,1.81,13.3,11.8,1.87,14.6,10.9,1.89,9.7,9.5,1.8,7.2,7.7,1.84,5.3,1.225,0,0,0,1.14
1,New,A,"481,517","7,062,396",44,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F1,USER,Noise Mode = 0,F1,"13,833.93",91.7786,1,,8.37,98.5,0,0,,9.43,1.851,7.32,1.936,2.7,7.7,2.25,5.9,7.6,2.48,6.1,8.9,2.43,8.2,8.9,2.41,11,7.8,2.44,8.3,8.4,1.99,7.5,10.03,1.793,13.4,12.3,1.86,14.7,11,1.9,9.5,9.8,1.81,7.1,7.8,1.82,5.4,1.225,0,0,0,1.05
2,New,A,"481,159","7,062,726",42,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F2,USER,Noise Mode = 0,F2,"14,065.51",93.3625,1,,8.38,98.5,0,0,,9.43,1.849,7.2,1.92,2.7,7.7,2.24,5.9,7.6,2.48,6.1,8.89,2.43,8.2,8.9,2.41,11.1,7.8,2.44,8.3,8.3,1.99,7.5,10.1,1.8,13.3,12.3,1.86,14.8,10.99,1.9,9.5,9.8,1.8,7.2,7.81,1.83,5.3,1.225,0,0,0,1.05
3,New,A,"482,023","7,062,925",56.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F3,USER,Noise Mode = 0,F3,"13,626.83",89.7775,1,,8.43,98.6,0,0,,9.49,1.849,7.25,1.94,2.7,7.8,2.24,5.9,7.7,2.48,6.1,8.9,2.44,8.2,9,2.42,11.1,7.7,2.44,8.3,8.35,1.98,7.6,10.1,1.8,13.4,12.4,1.86,14.8,11.1,1.9,9.6,9.9,1.8,7.1,8.05,1.84,5.3,1.225,0,0,0,1.03
4,New,A,"481,656","7,062,954",47,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F4,USER,Noise Mode = 0,F4,"13,484.68",90.0373,1,,8.34,98.5,0,0,,9.39,1.844,7.1,1.93,2.7,7.7,2.24,5.9,7.6,2.48,6.1,8.77,2.44,8.2,8.82,2.419,11,7.7,2.44,8.3,8.23,1.978,7.6,10.17,1.8,13.5,12.29,1.86,14.7,10.9,1.9,9.5,9.8,1.8,7.1,7.9,1.82,5.4,1.225,0,0,0,1.06
5,New,A,"481,882","7,062,431",55.7,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F5,USER,Noise Mode = 0,F5,"13,709.15",89.3632,1,,8.53,98.8,0,0,,9.6,1.843,7.11,1.931,2.7,7.8,2.24,5.9,7.8,2.48,6.2,9.13,2.43,8.3,9.1,2.41,11.2,7.8,2.44,8.2,8.41,1.997,7.4,10.01,1.8,13.2,12.6,1.86,14.9,11.4,1.9,9.7,10.1,1.81,7.2,7.9,1.84,5.2,1.225,0,0,0,1
6,New,A,"481,822","7,062,019",51.3,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F6,USER,Noise Mode = 0,F6,"14,710.00",95.6962,1,,8.53,98.8,0,0,,9.61,1.847,7.3,1.96,2.7,7.7,2.246,5.8,7.6,2.48,6.1,9.2,2.419,8.2,9.1,2.42,11.3,7.9,2.44,8.3,8.55,1.98,7.5,10,1.8,13.2,12.6,1.86,14.7,11.34,1.9,9.7,10.1,1.81,7.2,8.08,1.839,5.3,1.225,0,0,0,1
7,New,A,"482,270","7,062,313",52.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F7,USER,Noise Mode = 0,F7,"14,307.93",92.9236,1,,8.54,98.8,0,0,,9.61,1.85,7.24,1.954,2.7,7.78,2.24,5.9,7.8,2.48,6.1,9.14,2.42,8.2,9.2,2.416,11.3,7.8,2.44,8.3,8.5,1.984,7.5,10,1.8,13.2,12.6,1.86,14.7,11.3,1.9,9.7,10.08,1.81,7.2,8.1,1.85,5.3,1.225,0,0,0,1
8,New,A,"482,544","7,063,102",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F8,USER,Noise Mode = 0,F8,"13,842.86",90.8073,1,,8.45,98.7,0,0,,9.52,1.854,7.3,1.95,2.7,7.8,2.24,5.9,7.8,2.48,6.1,8.8,2.43,8.2,9.04,2.41,11.1,7.8,2.44,8.3,8.5,1.975,7.6,10.1,1.8,13.3,12.35,1.86,14.6,11.2,1.9,9.6,9.89,1.8,7.2,8.1,1.84,5.3,1.225,0,0,0,1.03
9,New,A,"482,850","7,063,501",59.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F9,USER,Noise Mode = 0,F9,"13,769.17",91.312,1,,8.37,98.5,0,0,,9.42,1.857,7.29,1.95,2.7,7.8,2.24,5.9,7.7,2.48,6.1,8.73,2.43,8.3,9,2.41,11.2,7.7,2.44,8.2,8.3,1.987,7.6,10,1.8,13.3,12.2,1.87,14.7,11.2,1.9,9.6,9.7,1.8,7.1,7.9,1.84,5.3,1.225,0,0,0,1.06
10,New,A,"483,136","7,062,632",59.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F10,USER,Noise Mode = 0,F10,"14,556.24",94.4515,1,,8.54,98.8,0,0,,9.61,1.854,7.2,1.97,2.7,7.8,2.237,5.8,7.8,2.48,6.1,9.09,2.42,8.2,9.2,2.41,11.4,7.9,2.43,8.3,8.5,1.98,7.5,10.09,1.8,13.1,12.5,1.86,14.6,11.36,1.9,9.8,9.96,1.81,7.3,8.06,1.85,5.3,1.225,0,0,0,1.01
11,New,A,"483,265","7,063,010",62.4,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F11,USER,Noise Mode = 0,F11,"13,954.34",91.5352,1,,8.43,98.6,0,0,,9.49,1.863,7.2,1.97,2.8,7.8,2.24,5.8,7.74,2.479,6,8.79,2.42,8.1,9.2,2.42,11.2,7.9,2.43,8.5,8.5,1.96,7.8,10,1.8,13.2,12.28,1.86,14.3,11.1,1.9,9.5,9.88,1.8,7.3,8.2,1.84,5.4,1.225,0,0,0,1.04
12,New,A,"483,823","7,063,167",64.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F12,USER,Noise Mode = 0,F12,"14,406.96",93.7398,1,,8.51,98.8,0,0,,9.58,1.856,7.2,1.969,2.8,8,2.233,5.9,8,2.47,6.1,8.8,2.42,8.2,9.17,2.427,11,7.8,2.44,8.3,8.5,1.99,7.6,10.3,1.8,13.6,12.5,1.86,14.7,11.1,1.9,9.4,9.69,1.809,7,8.2,1.85,5.3,1.225,0,0,0,1.02
13,New,A,"483,779","7,063,961",53.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F13,USER,Noise Mode = 0,F13,"13,891.66",91.9435,1,,8.36,98.5,0,0,,9.41,1.867,7.1,1.96,2.7,7.75,2.23,5.8,7.75,2.47,6.1,8.7,2.42,8.3,9.24,2.426,11.3,7.7,2.43,8.2,8.2,1.98,7.6,9.9,1.808,13.2,12,1.87,14.6,11.25,1.9,9.8,9.8,1.8,7.2,8,1.846,5.3,1.225,0,0,0,1.07
14,New,A,"484,501","7,063,378",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F14,USER,Noise Mode = 0,F14,"14,836.16",96.0633,1,,8.52,98.8,0,0,,9.6,1.866,7.19,1.97,2.8,7.8,2.23,5.8,7.96,2.476,6,8.8,2.41,8.2,9.49,2.42,11.3,7.9,2.43,8.3,8.5,1.97,7.6,10,1.8,13.2,12.4,1.87,14.5,11.3,1.9,9.7,9.9,1.81,7.3,8.3,1.86,5.3,1.225,0,0,0,1.02
15,New,A,"484,277","7,064,074",57.2,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F15,USER,Noise Mode = 0,F15,"14,055.15",92.9273,1,,8.37,98.5,0,0,,9.43,1.864,7.2,1.96,2.7,7.9,2.23,5.9,7.8,2.47,6.1,8.7,2.42,8.2,9,2.43,11,7.7,2.44,8.2,8.3,1.99,7.6,10.1,1.8,13.6,12.1,1.87,14.7,11.1,1.9,9.5,9.7,1.8,7,8.1,1.85,5.3,1.225,0,0,0,1.06
16,New,A,"484,529","7,064,385",61.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F16,USER,Noise Mode = 0,F16,"14,341.05",94.6705,1,,8.37,98.5,0,0,,9.43,1.87,7.2,1.97,2.7,7.8,2.23,5.8,7.79,2.47,6,8.7,2.41,8.2,9.1,2.42,11.2,7.71,2.427,8.3,8.4,1.96,7.7,10,1.81,13.3,11.98,1.87,14.4,11.2,1.9,9.6,9.8,1.8,7.3,8.2,1.85,5.3,1.225,0,0,0,1.06
17,New,A,"483,659","7,063,558",54,Yes,Envision,"V126-3.45MW-3,450","3,450",126,120,F17,USER,Noise Mode = 0,F17,"13,789.18",91.0635,1,,8.38,98.5,0,0,,9.44,1.864,7.2,1.96,2.7,7.8,2.23,5.8,7.8,2.48,6.1,8.8,2.42,8.3,9.1,2.43,11.2,7.7,2.44,8.2,8.4,1.99,7.6,9.9,1.8,13.3,12.2,1.87,14.7,11.1,1.9,9.7,9.7,1.8,7.2,8,1.84,5.3,1.225,0,0,0,1.06
